verbatimScientificName,species,FinalNameInDatabase,FinalSubspeciesInDatabase,ReasonOfUnmatch
Celastrina lavenduraris isabella Corbet,Celastrina lavendularis,Celastrina lavendularis,,Spelling mistake
Celastrina puspa ishigakiana,,Acytolepis puspa,,Synonym
"Celastrina puspa ishigakiana (Matsumura), 1929",,Acytolepis puspa,,Synonym
"Celastrina sp. Tutt, 1907",,NA,,No species name
Celasutrina argidus iynteana (de Nic.),,Celastrina argiolus,,Spelling mistake
Celatoxia carna,,,,
Celestrina lavendularis,Celastrina lavendularis,Celastrina lavendularis,,Spelling mistake
celtis,,NA,,No species name
Cephrenes,,NA,,No species name
Cepora,,NA,,No species name
Cepora indet.,,NA,,No species name
Cepora judith,Cepora julia,Cepora iudith,,WRONG synonym; Spelling mistake
"Cepora judith jael (Wallace, 1867)",Cepora julia,Cepora iudith,,WRONG synonym; Spelling mistake
Cepora judith judith Fabricius,Cepora julia,Cepora iudith,,WRONG synonym; Spelling mistake
Cepora judith malaya,Cepora julia,Cepora iudith,,WRONG synonym; Spelling mistake
Cepora ludith lea,,Cepora iudith,,Spelling mistake
Cepora spp.,,NA,,No species name
Cethosia,,NA,,No species name
Cethosia chrysippe,Cethosia cydippe,Cethosia cydippe,,Synonym
Cethosia chrysippe chrysippe Fabricius 1775,Cethosia cydippe,Cethosia cydippe,,Synonym
"Cethosia Fabricius, 1807",,NA,,No species name
Cethosia mahratta,,Cethosia nietneri,,Synonym
"Cethosia moesta C. & R. Felder, [1867]",Cethosia biblis,Cethosia biblis,,Synonym
"Cethosia moesta C. & R. Felder, 1867",Cethosia biblis,Cethosia biblis,,Synonym
Cethosia tambora,,,,
Chaetocneme  triton,Chaetocneme triton,Chaetocneme triton,,Typo
Chaetocneme caristus,Chaetocneme critomedia,,,Synonym?
Charaxes,,NA,,No species name
"Charaxes alphius Staudinger, 1886",Polyura athamas,Polyura alphius,,WRONG synonym
Charaxes andrewsi,Polyura pyrrhus,,,Synonym?
Charaxes berdardus ajax Fawcett,Charaxes bernardus,Charaxes bernardus,,Spelling mistake
Charaxes bharata,,Polyura athamas,,Synonym
"Charaxes bharata C. & R. Felder, [1867]",,Polyura athamas,,Synonym
Charaxes bornensis praestantius Furhstorfer,Charaxes borneensis,Charaxes borneensis,,Spelling mistake
Charaxes eudamippus formosanus,Polyura eudamippus,Polyura eudamippus,,Typo
Charaxes euryalis,Charaxes eurialus,Charaxes eurialus,,Spelling mistake
Charaxes hannibal,Charaxes solon,Charaxes solon,,Synonym
Charaxes narcaeus meghaduta,Charaxes narcaea,Polyura narcaeus,,Synonym
Charaxes polyxena,,Charaxes bernardus,,Synonym
"Charaxes schreiber (Godart, 1824)",,Polyura schreiber,,Synonym
Charaxes setan,,,,
Charaxes spp.,,NA,,No species name
Chersonsesia intermedia intermedia,Chersonesia intermedia,Chersonesia intermedia,,Spelling mistake
Chersonsesia peraka peraka,Chersonesia peraka,Chersonesia peraka,,Spelling mistake
Chilades,,NA,,No species name
"Chilades cleotas GuÇrin-MÇneville, 1831",Luthrodes cleotas,Luthrodes cleotas,,Synonym
"Chilades mindorus (C. Felder et R. Felder, [1865])",,Luthrodes mindora,,Synonym
Chitoria modesta,,,,
Choaspes,,NA,,No species name
Choaspes  benjaminii,Choaspes benjaminii,Choaspes benjaminii,,Typo
Choaspes japonica benjaminii,,Choaspes benjaminii,,Synonym
Chonala masoni,,,,
Chonala masoni Elwes,,,,
Chrysozephyrus,,NA,,No species name
"Chrysozephyrus brillantius (Staudinger, 1887)",,Chrysozephyrus brillantina,,Synonym
Chrysozephyrus gaoi,,,,
