verbatimScientificName,species,FinalNameInDatabase,FinalSubspeciesInDatabase,ReasonOfUnmatch
Papilio  memnon,Papilio memnon,Papilio memnon,,Typo
Papilio  protenor,Papilio protenor,Papilio protenor,,Typo
Papilio  xuthus,Papilio xuthus,Papilio xuthus,,Typo
Papilio (Achillides) paris nakaharai,Papilio paris,Papilio paris,,Synonym
Papilio (Chilasa) agestor matsumurae,Chilasa agestor,Papilio agestor,,Synonym
Papilio (Menelaides) castor formosanus,Papilio castor,Papilio castor,castor,Synonym
Papilio (Menelaides) thaiwanus,Papilio thaiwanus,Papilio thaiwanus,,Synonym
Papilio (Princeps) aegeus,Papilio aegeus,Papilio aegeus,,Synonym
Papilio (Princeps) aegeus aegeus,Papilio aegeus,Papilio aegeus,,Synonym
Papilio (Princeps) aegeus ormenus,Papilio aegeus,Papilio aegeus,,Synonym
Papilio (Princeps) ambrax,Papilio ambrax,Papilio ambrax,,Synonym
Papilio (Princeps) demoleus,Papilio demoleus,Papilio demoleus,,Synonym
Papilio (Princeps) demoleus malayanus,Papilio demoleus,Papilio demoleus,,Synonym
Papilio (Princeps) fuscus,Papilio fuscus,Papilio fuscus,,Synonym
Papilio (Princeps) fuscus canopus,Papilio fuscus,Papilio fuscus,,Synonym
Papilio (Princeps) memnon,Papilio memnon,Papilio memnon,,Synonym
"Papilio (Princeps) nephelus annulus Pendlebury, 1936",Papilio nephelus,Papilio nephelus,,Synonym
Papilio (Princeps) ulysses,Papilio ulysses,Papilio ulysses,,Synonym
Papilio (Princeps) ulysses joesa,Papilio ulysses,Papilio ulysses,,Synonym
Papilio aegas,Papilio aegeus,Papilio aegeus,,Spelling mistake
Papilio aegus,Papilio aegeus,Papilio aegeus,,Spelling mistake; Synonym
Papilio agenor,Papilio memnon,Papilio memnon,,Synonym
Papilio agenor agenor,Papilio memnon,Papilio memnon,,Synonym
Papilio agenor heronus,Papilio memnon,Papilio memnon,,Synonym
Papilio agenor parinda,Papilio memnon,Papilio memnon,,Synonym
Papilio agenor polymnestor,Papilio memnon,Papilio memnon,,Synonym
Papilio agenor thunbergii,Papilio memnon,Papilio memnon,,Synonym
Papilio alfrenor,,,,
Papilio androcles,,Graphium androcles,,Synonym
Papilio binaor junia,Papilio bianor,Papilio bianor,,Spelling mistake
Papilio capaneus,,Papilio fuscus,,Synonym
Papilio chaon,Atrophaneura varuna,Papilio nephelus,,Synonym
Papilio chaon annulus,Atrophaneura varuna,Papilio nephelus,,Synonym
Papilio chaon chaon,Atrophaneura varuna,Papilio nephelus,,Synonym
Papilio chaon chaonulus,Papilio nephelus,Papilio nephelus,,Synonym
"Papilio chaon Westwood, 1845",Atrophaneura varuna,Papilio nephelus,,Synonym
Papilio daksha,Papilio helenus,Papilio helenus,,Synonym
Papilio daksha mooreanus,Papilio helenus,Papilio helenus,,Synonym
Papilio demolius libanius,Papilio demoleus,Papilio demoleus,,Spelling mistake
Papilio everesti,,,,
Papilio hector,,Papilio polytes,,Synonym
Papilio heringi Niepelt,Papilio fuscus,,,Synonym?
Papilio hippocrates machano,Papilio machaon,Papilio machaon,,Synonym
Papilio hippocrates machaon,Papilio machaon,Papilio machaon,,Synonym
Papilio indet.,Papilio indra,NA,,No species name
Papilio javanus,Papilio janaka,Papilio memnon,,Synonym
Papilio javanus theseus,Papilio janaka,Papilio memnon,,Synonym
Papilio javanus timorensis,Papilio janaka,Papilio memnon,,Synonym
Papilio karma,Papilio karna,Papilio karna,,Spelling mistake
"Papilio Linnaeus, 1758",,NA,,No species name
Papilio megarus megapenthes,Graphium megarus,Graphium megarus,,Synonym
Papilio memnon（Linnaeus. 1758）,Papilio memnon,Papilio memnon,,Typo
Papilio nephalus subsp. sunatus,Papilio nephelus,Papilio nephelus,,Spelling mistake
Papilio nepheles chaonuius,Papilio nephelus,Papilio nephelus,,Spelling mistake
Papilio nicconicolens helenus,Papilio helenus,Papilio helenus,,Synonym
Papilio niccoricolens helenus,Papilio helenus,Papilio helenus,,Synonym
Papilio oritas,Papilio orion,Papilio aegeus,,Synonym
Papilio palawanicus enganius,,Papilio helenus,,Synonym
Papilio politis,Papilio polytes,Papilio polytes,,Spelling mistake
Papilio polyetes,,Papilio polytes,,Spelling mistake
"Papilio polypes Lilnnaeus, 1758",Papilio polytes,Papilio polytes,,Spelling mistake
Papilio ryukyuensis,,,,
Papilio sarpedon,Graphium sarpedon,Graphium sarpedon,,Synonym
Papilio sp.,,NA,,No species name
Papilio spec.,,NA,,No species name
Papilio taiwanus,Papilio thaiwanus,Papilio thaiwanus,,Spelling mistake
Papilio telegonus,Papilio ulysses,Papilio ulysses,,Synonym
Papilio telemachus,Morpho crameri,Papilio ulysses,,Synonym
Papilionidae,,NA,,No species name
PAPILIONIDAE,,NA,,No species name
Papilionidae  Papilio,,NA,,No species name
"Papilionidae Latreille, 1802",,NA,,No species name
Paraduba owgarra,,,,
Paralasa mani,,,,
Paralasa shallada,,,,
Paralaxita orphana laocoon,,Paralaxita orphna,,Spelling mistake
Paralaxita sp. UMKL JJW0395,,NA,,No species name
Parantica,,NA,,No species name
Parantica  sita,Parantica sita,Parantica sita,,Typo
Parantica algea melanoides,Parantica aglea,Parantica aglea,,Spelling mistake
Parantica asposia asposia (Fabriicus),Parantica aspasia,Parantica aspasia,,Spelling mistake
Parantica asposia thargalia (Fruhstorfer),Parantica aspasia,Parantica aspasia,,Spelling mistake
Parantica menandensis,Parantica menadensis,Parantica menadensis,,Spelling mistake
"Parantica niphonica (Moore, 1883)",,Parantica sita,,Synonym
Parantica niphonica sita,,Parantica sita,,Synonym
Parasarpa hollandi,,,,
Parasarpa hollandi lombokiana,,,,
"Parasarpa libnites subsp. libnites Hewitson, 1859",,Athyma libnites,,Synonym
Paratica aspasia cerilla Fruhstorfer,Parantica aspasia,Parantica aspasia,,Spelling mistake
Pareronia,,NA,,No species name
Pareronia spp.,,NA,,No species name
Parnara,,NA,,No species name
Parnara  guttata,Parnara guttatus,Parnara guttatus,,Synonym
Parnara spp.,,NA,,No species name
Parnassius augustus,,Parnassius imperator,,Synonym
Parnassius hide,Parnassius patricius,,,Synonym?
"Parnassius hide Koiwaya, 1987",Parnassius patricius,,,Synonym?
Parnassius huberi,Parnassius schultei,,,Synonym?
Parnassius labeyriei,Parnassius maharaja,,,Synonym?
"Parnassius przewalskii Alphéraky in Romanoff, 1887",Parnassius acco,,,Synonym?
Parthemos sylcia butlerinus Staudinger,Kallima sylvia,Parthenos sylvia,,Spelling mistake
Parunassius glacialis Butler,Parnassius glacialis,Parnassius citrinarius,citrinarius,Spelling mistake
Patanthus flavus,Potanthus flava,Potanthus flava,,Synonym
Pathysa,,NA,,No species name
Pazala Moore 1888,,NA,,No species name
Pcchliopta aristolochiae,Pachliopta aristolochiae,Pachliopta aristolochiae,,Spelling mistake
Pedesta submacula,,Thoressa submacula,,Synonym
Pelopidas,,NA,,No species name
Pelopidas  mathias,Pelopidas mathias,Pelopidas mathias,,Typo
Pelopidas indet.,,NA,,No species name
Pelopidas oberthueri mathias,Pelopidas mathias,Pelopidas mathias,,Synonym
"Pelopidas sinsensis (Mabille, 1877)",Pelopidas sinensis,Pelopidas sinensis,,Spelling mistake
Pelopidas spp,,NA,,No species name
Penthema indet.,,NA,,No species name
Penthema mimetica,Penthema darlisa,Penthema darlisa,,Synonym
Perrotia sp,,NA,,No species name
Petrelaea,,NA,,No species name
Phaedyma,,NA,,No species name
Phalanta,,NA,,No species name
Phalanta phalanta,Phalanta phalantha,Phalanta phalantha,,Spelling mistake
Phalanta phalanta phalanta (Drury),Phalanta phalantha,Phalanta phalantha,,Spelling mistake
Philiris,,NA,,No species name
"Philiris aquamarina Sands, 1981",,,,
Philiris innotata,Philiris innotatus,Philiris innotatus,,Synonym
"Philiris innotata innotata (Miskin, 1874)",Philiris innotatus,Philiris innotatus,,Synonym
Philiris papuana kerri,Philiris diana,Philiris diana,,Synonym
Philiris sp. ACS9688,,NA,,No species name
Philiris sp. BOLD:AAL8393,,NA,,No species name
Philiris sp. CATS185-10,,NA,,No species name
Pieridae,,NA,,No species name
PIERIDAE,,NA,,No species name
"Pieridae Duponchel, 1832",,NA,,No species name
"Pieridae Duponchel, 1835",,NA,,No species name
Pieridae indet.,,NA,,No species name
Pieridae sp.,,NA,,No species name
Pieris,,NA,,No species name
Pieris,,NA,,No species name
Pieris  rapae,Pieris rapae,Pieris rapae,,Typo
"Pieris (Artogeia) canidia canidia (Sparrman), 1768",Pieris canidia,Pieris canidia,,Synonym
Pieris (Artogeia) melete melete,Pieris melete,Pieris melete,,Synonym
"Pieris (Artogeia) melete melete Menetries, 1857",Pieris melete,Pieris melete,,Synonym
"Pieris (Artogeia) rapae crucivora  Boisduval, 1836",Pieris rapae,Pieris rapae,,Synonym
"Pieris (Artogeia) rapae crucivora Boisduval, 1836",Pieris rapae,Pieris rapae,,Synonym
"Pieris (Artogeia) rapae crucivora Boisduval,1836",Pieris rapae,Pieris rapae,,Synonym
Pieris candia candia (Sparrman),Pieris canidia,Pieris canidia,,Spelling mistake
Pieris crucivora rapae,,Pieris rapae,,Synonym
Pieris dubernardi,,,,
Pieris dubernardi kozlovi,,,,
Pieris indet.,,NA,,No species name
Pieris nesis,,,,
"Pieris nesis Fruhstorfer, 1909",,,,
Pieris nesis nesis,,,,
Pieris sp.,,NA,,No species name
Pieris stoetzneri,,,,
Pieris venata,,,,
Pieris(A.) melete melete Menetries,,Pieris melete,,Synonym
"Pieris(Artogeia) melete melete Menetries,1857",Pieris melete,Pieris melete,,Synonym
"Pieris(Artogeia) rapae crucivora Boisduval,1836",Pieris rapae,Pieris rapae,,Synonym
Pirdana fusca,,,,
Pirdana major,Pirdana hyela,Pirdana hyela,,Synonym
"Pirdana major Evans, 1932",Pirdana hyela,Pirdana hyela,,Synonym
"Pistoria nigropunctata kratke (Tite, 1962)",Pistoria nigropuncta,,,
Pithecops,,NA,,No species name
Pithecops fnlgehs urai,Pithecops fulgens,Pithecops fulgens,,
Plastingia derna,Pyroneura derna,Pyroneura derna,,Synonym
Plastingia niasana burmana,Pyroneura niasana,Pyroneura niasana,,Synonym
Platypthima homochroa,Platypthima simplex,,,Synonym?
Platypthima leucomelas,,,,
Plebejidea loewii,Plebejidea loewi,,,
"Plebejus lehana (Moore,  1878)",,,,
"Plebejus omphissa (Moore,  1874)",,,,
Plebejus samudra,,,,
Plebejus sp.,,NA,,No species name
Polycaena sp. 1PK,,NA,,No species name
Polygonia  c-album,Polygonia c-album,Polygonia c-album,,Typo
Polygonia  c-aureum,Polygonia c-aureum,Polygonia c-aureum,,Typo
"Polygonia canace subsp. maniliana (Linnaeus, 1763)",,Kaniska canace,,
Polyommatinae,,NA,,No species name
Polyommatus punctifera,Polyommatus punctiferus,,,
Polytremis  pellucida,Polytremis pellucida,Polytremis pellucida,,Typo
Polytremis fukia,,Polytremis theca,,Synonym
Polytremis lubricons lubricons (Herrich- Scaffer),Polytremis lubricans,Polytremis lubricans,,Spelling mistake
Polyura,,NA,,No species name
Polyura andrewsi,,,,
Polyura bharata,,Polyura athamas,,Synonym
Polyura dehanii,Polyura kadenii,,,
Polyura dehanii ssp.,Polyura kadenii,,,
Polyura epigenes monochroma,Polyura epigenes,,,
Polyura sp. UMKL JJW0491,,NA,,No species name
Polyura weismanni,,Polyura eudamippus,,Synonym
Poritia maia maia,Simiskina maina,Simiskina pheretia,,Synonym
Potanthus,,NA,,No species name
Potanthus  flavus,Potanthus flava,Potanthus flava,,Synonym; Typo
"Potanthus ? Scudder, 1872",,NA,,No species name
Potanthus flavum flavum,Potanthus flava,Potanthus flava,,Synonym; Spelling mistake
Potanthus indet.,,NA,,No species name
Potanthus satra,,,,
"Potanthus Scudder, 1872",,NA,,No species name
"Potanthus sp. Scudder, 1872",,NA,,No species name
Potanthus spec.,,NA,,No species name
Praetaxila albiplaga,,,,
Prasotas nora formosana (Fruhstorfer),Prosotas nora,Prosotas nora,,Spelling mistake
"Precis almana (Linnaeus, 1758)",,Junonia almana,,Synonym
Precis iphita,Junonia iphita,Junonia iphita,,Synonym
"Precis iphita (Cramer, 1779)",Junonia iphita,Junonia iphita,,Synonym
Precis villida,Junonia villida,Junonia villida,,Synonym
Prioneris indet.,,NA,,No species name
Prioneris phionome Boisduval,Prioneris philonome,Prioneris philonome,,Spelling mistake
Prosotas,,NA,,No species name
Prosotas sp. BIOUG15398-B02,,NA,,No species name
Prosotas sp. BIOUG15398-C06,,NA,,No species name
Prosotas sp. BIOUG15398-C07,,NA,,No species name
Prosotas sp. BIOUG15398-G10,,NA,,No species name
Prosotas sp. BIOUG18627-H02,,NA,,No species name
Prosotas sp. BIOUG21682-D05,,NA,,No species name
Prosotas spec.,,NA,,No species name
Pseudcoladenia dan dhyana (Fruhstorfer ),Pseudocoladenia dan,Pseudocoladenia dan,,Spelling mistake
Pseudocoladenia,,NA,,No species name
Pseudocoladenia dea,,,,
Pseudocoladenia decora,,,,
Pseudocoladenia eacus,,Pseudocoladenia dan,,Synonym
Pseudocoladenia eacus dhyana,,Pseudocoladenia dan,,Synonym
Pseudocoladenia fatih,Pseudocoladenia fabia,Pseudocoladenia dan,,Synonym
Pseudocoladenia fatua,,,,
Pseudocoladenia sadakoe,,Pseudocoladenia dan,,Synonym
Pseudogonerilia kitawakii,,,,
Pseudozizzeria argia maha,,Pseudozizeeria maha,,Synonym
Pseudozizzeria maha argia,Pseudozizeeria maha,Pseudozizeeria maha,,Spelling mistake
Psychonotis browni,Psychonotis brownii,Psychonotis brownii,,Spelling mistake
Psychonotis eudocia,,,,
"Ptychandra lorquini Felder & Felder,  1861",Ptychandra lorquinii,Ptychandra lorquinii,,Spelling mistake
"Pyrginae Burmeister, 1878",,NA,,No species name
Pyroneura perakana,,,,
Pyroneura perakana perakana,,,,
Radena similis similis,,Ideopsis similis,,Synonym
Radena similis similis (Linnaeus),,Ideopsis similis,,Synonym
"Radena similis similis (Linnaeus), 1758",,Ideopsis similis,,Synonym
"Radena similis similis (Linnaeus, 1758)",,Ideopsis similis,,Synonym
Ragadia critolaus,Ragadia crisilda,Ragadia crisilda,,Synonym
Ragadia maganda,,,,
Ragadia spp.,,NA,,No species name
Rapala,,NA,,No species name
Rapala christopheri,,,,
Rapala enipeus,,,,
"Rapala Moore, 1881",,NA,,No species name
Rapala palamera,Rapala nissa,Rapala nissa,,Synonym
Rapala varutha formosana Fruhstorfer,Rapala varuna,Rapala varuna,,Spelling mistake
Remilana westermanni,,Remelana jangala,,Synonym; Spelling mistake
Riodinidae,,NA,,No species name
Rohana,,NA,,No species name
Rusticus sp.,,NA,,No species name
Sahulana,,NA,,No species name
Salanoemia shigerui,,,,
Salatura genutia,,Danaus genutia,,Synonym
Salatura genutia genutia,,Danaus genutia,,Synonym
Salatura genutia genutia (Cramer),,Danaus genutia,,Synonym
"Salatura genutia genutia (Cramer), 1779",,Danaus genutia,,Synonym
"Salatura genutia genutia (Cramer, 1779 )",,Danaus genutia,,Synonym
Salatura genutia genutia Cramer,,Danaus genutia,,Synonym
"Saletara (Distant, 1885)",,NA,,No species name
Sancus fuligo,,Psolos fuligo,,Synonym
Satyrium formosanum,Thecla formosana,Euaspa milionia,formosana,Synonym
"Satyrium formosanum (Matsumura, 1910)",Thecla formosana,Euaspa milionia,formosana,Synonym
Satyrium mera,,,,
Satyrium oenone,,,,
Satyrium yangi,,,,
Scobura spec.,,NA,,No species name
Semanga helena,,,,
Sephisa channdra androdamas Fruhstofer,Sephisa chandra,Sephisa chandra,,Spelling mistake
Sericinus  montela,Sericinus montela,Sericinus montela,,Typo
Sericinus japonica Gray,,,,
Seseria affinus kirmana (Plotz),Seseria affinis,Seseria affinis,,Spelling mistake
Shizuyaozephyrus ziha,,,,
"Sinia divina (Fixsen, 1887)",,Shijimiaeoides divina,,Synonym
Sinia lanty,,Scolitantides lanty,lanty,Synonym
"Sinopieris dubernardi (Oberthür, 1884)",,,,
Sinthusa stephaniae,Sinthusa mindanensis,Sinthusa mindanensis,,Synonym?
Sinthusa verriculata,,,,
Spialia,,NA,,No species name
Spindasis sp.,,NA,,No species name
Stichophthalama howqua formosana Fruhstorfer,Stichophthalma howqua,Stichophthalma howqua,,Spelling mistake
"Stichophthalma devyatkini Monastyrskii, 2013",,Stichophthalma devyatkini,,Typo
Stichophthalma indet.,,NA,,No species name
Stichophthalma nurinissa,,Stichophthalma nourmahal,,Synonym
Strymonidia formosana (Matsumura),Thecla formosana,Euaspa milionia,formosana,Synonym
"Strymonidia mera  (Janson), 1877",,,,
Strymonidia mera (Janson),,,,
"Strymonidia mera (Janson, 1877)",,,,
"Strymonidia sassanides (Kollar, [1849])",,Satyrium sassanides,,Synonym
Sumalia dudu dudu (Westwood),,Parasarpa dudu,,Synonym
Surendra samina,Surendra vivarna,Surendra vivarna,,Synonym
Sybrenthia lilaea sumatrana Fruhstorfer,,Symbrenthia lilaea,,Spelling mistake
Symbrenthia,,NA,,No species name
Symbrenthia formosanus,Symbrenthia hippoclus,Symbrenthia lilaea,,WRONG synonym
Symbrenthia hippocle,Symbrenthia hippoclus,Symbrenthia hippoclus,,Spelling mistake
Symbrenthia hippocle,Symbrenthia hippoclus,Symbrenthia hippoclus,,Spelling mistake
Symbrenthia javanus formosanus,Symbrenthia hippoclus,Symbrenthia hippoclus,,Synonym
"Symbrenthia javanus Staudinger, 1897",Symbrenthia hippoclus,Symbrenthia hippoclus,,Synonym
Symbrenthia liaea lilaea Hewitson,Symbrenthia lilea,Symbrenthia lilaea,,Spelling mistake
Symbrenthia liaea lunicas,Symbrenthia lilea,Symbrenthia lilaea,,Spelling mistake
Symbrenthia sinica,Symbrenthia hypselis,Symbrenthia brabira,sinica,WRONG synonym
Taenaris,,NA,,No species name
"Taenaris horsfieldi Grose-Smith, 1889",Taenaris horsfieldii,Taenaris horsfeildii,,Spelling mistake
Taenaris montana,,,,
Tagiades,,NA,,No species name
"Tagiades sp. Hübner, [1819]",,NA,,No species name
Tagiades tethys,,Daimio tethys,,Synonym
Tagiades tethys moori,Daimio tethys,Daimio tethys,,Synonym
"Tagiades tethys moori  (Mabille, 1876)",Daimio tethys,Daimio tethys,,Synonym
Tajuria iapyx,Tajuria iapix,,,
Tajuria igolontina,,,,
"Tajuria Moore, 1881",,NA,,No species name
Talicada,,NA,,No species name
Tanaecia,,NA,,No species name
Tanaecia cocytina,Tanaecia cocytus,Tanaecia cocytus,,Synonym
Tanaecia cocytina ambalika,Tanaecia cocytus,Tanaecia cocytus,,Synonym
Taractrocera,,NA,,No species name
"Taractrocera Butler, 1870",,NA,,No species name
Taractrocera nigrolimbata,,,,
Taractrocera sp. 2,,NA,,No species name
Taractrocera trikora,,,,
Taractrocerini,,NA,,No species name
"Taracus callinara Butler, 1886",Tarucus callinara,Tarucus callinara,,Spelling mistake
Tarucus,,NA,,No species name
Tarucus balkanicus,Tarucus balkanica,Tarucus balkanica,,Synonym
Tarucus hazara,Tarucus venosus,,,Synonym?
Tarucus indica,Tarucus theophrastus,,,Synonym?
"Tarucus indica Evans, 1932",Tarucus theophrastus,,,Synonym?
Tarucus sp. TNAULY201400132,,NA,,No species name
Taxila thuisto thuisto Hewitson,Laxita thuisto,Laxita thuisto,,Synonym
Telchinia hypermnestra hainana,,,,
Telicota,,NA,,No species name
Telicota sp.,,NA,,No species name
Telicota sp. ACM9949,,NA,,No species name
Telicota sp. BOLD:ACM9949,,NA,,No species name
"Telicota stinga Evans, 1949",Telicota colon,Telicota colon,,Synonym
"Teliicota bambusae horisha Evans, 1934",Telicota bambusae,Telicota bambusae,,Spelling mistake
Telinga davisoni,,,,
Telinga lepcha,,Mycalesis lepcha,,Synonym
Telinga mestra,,Mycalesis mestra,,Synonym
Telinga nicotia,,Mycalesis nicotia,,Synonym
Telinga sangaica,,Mycalesis sangaica,,Synonym
Tellervo,,NA,,No species name
Tellervo soilus sarcapus,,Tellervo zoilus,,Spelling mistake
Terinos intermedia,Terinos terpander,Terinos terpander,,Synonym
Thaumantis hainana,,,,
Thauria indet.,,NA,,No species name
Thecla,,NA,,No species name
Thoressa  varia,Thoressa varia,Thoressa varia,,Typo
Thoressa spec.,,NA,,No species name
Tirumala,,NA,,No species name
Tirumala maculata formosana Fruhstorfer,,,,
"Tirumala septentrionus (Butler, 1874)",Tirumala septentrionis,Tirumala septentrionis,,Spelling mistake
Tirumala septentronis (Butler),Tirumala septentrionis,Tirumala septentrionis,,Spelling mistake
Tirumala spec.,,NA,,No species name
"Tirumale limniace (Cramer, 1755)",Tirumala limniace,Tirumala limniace,,Spelling mistake
Tongeia amplifascia,,,,
Tongeia pseudozuthus,,,,
Toxidia inornata,Toxidia inornatus,Toxidia inornatus,,Synonym
Toxidia xiphiphora,,,,
Trapezites heteromaculata,Trapezites heteromacula,Trapezites heteromacula,,Spelling mistake
Trogonoptera trojanus Honrath,Trogonoptera trojana,Trogonoptera trojana,,Synonym
Troides,,NA,,No species name
Troides brookiana,Trogonoptera brookiana,Trogonoptera brookiana,,Synonym
Troides croesus,,Ornithoptera croesus,,Synonym
"Troides croesus lydius (Felder & Felder, 1865)",,Ornithoptera croesus,,Synonym
Troides oblongomaculatuS,,Troides oblongomaculatus,,Typo
Troides paridisea,Ornithoptera paradisea,Ornithoptera paradisea,,Synonym; Spelling mistake
Troides priamus,Ornithoptera priamus,Ornithoptera priamus,,Synonym
"Troides priamus caelestis Rothschild, 1898",Ornithoptera priamus,Ornithoptera priamus,,Synonym
"Troides priamus poseidon (Doubleday, 1847)",Ornithoptera priamus,Ornithoptera priamus,,Synonym
"Troides priamus urvillianus (Guérin-Méneville, 1830)",Ornithoptera priamus,Ornithoptera priamus,,Synonym
Troides rhadamanthus,Troides rhadamantus,Troides rhadamantus,,Spelling mistake
Troides rhadamanthus rhadamanthus,Troides rhadamantus,Troides rhadamantus,,Spelling mistake
Troides rothschildi,Ornithoptera rothschildi,Ornithoptera rothschildi,,Synonym
"Troides rothschildi (Kenrick, 1911)",Ornithoptera rothschildi,Ornithoptera rothschildi,,Synonym
"Troides trojana (Staudinger, 1889)",Trogonoptera trojana,Trogonoptera trojana,,Synonym
Udara,,NA,,No species name
Udara aristius,,,,
Udara ceyx,,Udara selma,,Synonym
Udara coalita briga,,,,
Udara lanka,,,,
Udara singalensis,,,,
Una rantaizana,,Orthomiella rantaizana,,Synonym
undetermined sp.,,NA,,No species name
unidentified Hesperiidae spp.,,NA,,No species name
Unidentified Satyrini spp.,,NA,,No species name
"Ussuriana Stygiana (Butler, 1881)",,Coreana stygiana,,Synonym
Vanessa,,NA,,No species name
Vanessa  cardui,Vanessa cardui,Vanessa cardui,,Typo
Vanessa  indica,Vanessa indica,Vanessa indica,,Typo
Vanessa dejeanii,Vanessa dejeani,,,
Vanessa dejeanii dejeanii,Vanessa dejeani,,,
"Vanessa dejeanii Godart, 1824",Vanessa dejeani,,,
Vindula,,NA,,No species name
Wagimo signatus,Wagimo signata,Wagimo signata,,Synonym
Wagimo signatus (Butler),Wagimo signata,Wagimo signata,,Synonym
"Wagimo signatus (Butler, [1882])",Wagimo signata,Wagimo signata,,Synonym
Yathima argus,Ypthima argus,Ypthima argus,,Spelling mistake
Ypthima,,NA,,No species name
Ypthima  argus,Ypthima argus,Ypthima argus,,Typo
Ypthima atra taiwana,Ypthima atra,Ypthima atra,,Typo
Ypthima ciris,Ypthima civis,,,
Ypthima esakiiShir?zu,,Ypthima esakii,,Typo
Ypthima hubenri,Ypthima huebneri,Ypthima huebneri,,Spelling mistake
"Ypthima hübneri Kirby, 1871",,Ypthima huebneri,,Typo
Ypthima iarba,,,,
Ypthima indecora,Ypthima philomela,,,Synonym?
Ypthima indet.,,NA,,No species name
Ypthima kasmira,Ypthima huebneri,Ypthima huebneri,,Synonym
Ypthima lihongxingi,,,,
Ypthima singala,Ypthima avanta,,,Synonym?
Ypthima sp. 'transects',,NA,,No species name
Ypthima sp. 1MKC,,NA,,No species name
Ypthima spec.,,NA,,No species name
Ypthima spp.,,NA,,No species name
Ypthima striata,Ypthima avanta,,,Synonym?
Ypthima tabella,Ypthima philomela,Ypthima philomela,,Synonym
Ypthima yamanakai,Ypthima conjuncta,,,Synonym?
Zela storeyi,,,,
Zemeros fleglas albipunctatus,Zemeros flegyas,Zemeros flegyas,,Spelling mistake
Zemeros fleglas allica,Zemeros flegyas,Zemeros flegyas,,Spelling mistake
Zeuxidia sp. UMKL JJW0333,,NA,,No species name
"Zezeeria maha okinawana (Matsumura, 1929)",Zizeeria maha,Pseudozizeeria maha,,Spelling mistake
Zezina,,NA,,No species name
Zinaida pellucida,,Polytremis pellucida,,Synonym
Zinaspa youngi,,NA,,No species name
Zizeeria,,NA,,No species name
Zizina,,NA,,No species name
Zizina hylax,Zizula hylax,Zizula hylax,,Synonym
Zizula,,NA,,No species name
Zizura hylax hylax (Fabricius),Zizula hylax,Zizula hylax,,Spelling mistake
Zophoessa  callipteris,,Lethe callipteris,,Synonym; Typo
Zophoessa callipteris,,Lethe callipteris,,Synonym
Zophoessa callipteris (A.G.Butler),,Lethe callipteris,,Synonym
Zophoessa callipteris (Butler),,Lethe callipteris,,Synonym
"Zophoessa callipteris (Butler, 1877)",,Lethe callipteris,,Synonym
Zophoessa callipteris Butler,,Lethe callipteris,,Synonym
Zophoessa daraensis (Semper),,,,
